अंक	ə ŋ k
जातिगत	d͡ʒ ɑː t̪ ɪ ɡ ə t̪
जातिवाद	d͡ʒ ɑː t̪ iː ʋ ɑː d̪
जादू	d͡ʒ ɑː d̪ uː
जादूगर	d͡ʒ ɑː d̪ uː ɡ ə ɾ
जानकार	d͡ʒ ɑː n k ɑː ɾ
जानना	d͡ʒ ɑː n n ɑː
जानबूझकर	d͡ʒ ɑː n b uː d͡ʒʱ k ə ɾ
जानवर	d͡ʒ ɑː n ʋ ə ɾ
जाना	d͡ʒ ɑː n ɑː
जानी	d͡ʒ ɑː n iː
जापान	d͡ʒ ɑː p ɑː n
जाम	d͡ʒ ɑː m
जायज़	d͡ʒ ɑː j ə z
जायज़ा	d͡ʒ ɑː j ə z ɑː
जायदाद	d͡ʒ ɑː j ə d̪ ɑː d̪
जाल	d͡ʒ ɑː l
जासूसी	d͡ʒ ɑː s uː s iː
जिंस	d͡ʒ ɪ n s
जिज्ञासा	d͡ʒ ɪ ɡ j ɑː s ɑː
जितना	d͡ʒ ɪ t̪ n ɑː
जिन	d͡ʒ ɪ n
जिनका	d͡ʒ ɪ n k ɑː
जिन्न	d͡ʒ ɪ n n
जिन्होंने	d͡ʒ ɪ n ɦ õː n eː
जिस	d͡ʒ ɪ s
जिसका	d͡ʒ ɪ s k ɑː
जिसको	d͡ʒ ɪ s k oː
जिसने	d͡ʒ ɪ s n eː
जिसमें	d͡ʒ ɪ s m ẽ
जिससे	d͡ʒ ɪ s s eː
जिसे	d͡ʒ ɪ s eː
जी	d͡ʒ iː
जीजा	d͡ʒ iː d͡ʒ ɑː
जीतना	d͡ʒ iː t̪ n ɑː
जीन	d͡ʒ iː n
जीभ	d͡ʒ iː bʱ
जीवनी	d͡ʒ iː ʋ n iː
जीवाश्म	d͡ʒ iː ʋ ɑː ʃ m
जुआ	d͡ʒ ʊ ɑː
जुआरी	d͡ʒ ʊ ɑː ɾ iː
जुगनू	d͡ʒ ʊ ɡ n uː
जुगलबंदी	d͡ʒ ʊ ɡ ə l b ə n d̪ iː
जुटाना	d͡ʒ ʊ ʈ ɑː n ɑː
जुदा	d͡ʒ ʊ d̪ ɑː
जुदाई	d͡ʒ ʊ d̪ ɑː iː
जुनून	d͡ʒ ʊ n uː n
जुमला	d͡ʒ ʊ m l ɑː
जुमा	d͡ʒ ʊ m ɑː
जुर्म	d͡ʒ ʊ ɾ m
जुलूस	d͡ʒ ʊ l uː s
जूझना	d͡ʒ uː d͡ʒʱ n ɑː
जेठानी	d͡ʒ eː ʈʰ ɑː n iː
जेद्दा	d͡ʒ eː d̪ d̪ ɑː
जेब	d͡ʒ eː b
जेल	d͡ʒ eː l
जॉर्जिया	d͡ʒ ɔː ɾ d͡ʒ iː j ɑː
जॉर्डन	d͡ʒ ɔː ɾ ɖ ə n
जो	d͡ʒ oː
जोखिम	d͡ʒ oː kʰ ɪ m
जोड़ना	d͡ʒ oː ɽ n ɑː
जोधपुर	d͡ʒ oː d̪ʱ p ʊ ɾ
जोश	d͡ʒ oː ʃ
जौ	d͡ʒ ɔː
जौहर	d͡ʒ ɔː ɦ ə ɾ
ज्ञात	ɡ j ɑː t̪
ज्ञान	ɡ j ɑː n
ज्यादा	d͡ʒ j ɑː d̪ ɑː
ज्वार	d͡ʒ ʋ ɑː ɾ
ज्वालामुखी	d ʒ ʋ aː l aː m ʊ kʰ iː
झंझट	d͡ʒʱ ə ɲ d͡ʒʱ ə ʈ
झगड़ा	d͡ʒʱ ə ɡ ɽ ɑː
झड़प	d͡ʒʱ ə ɽ ə p
झामुमो	d͡ʒʱ ɑː m ʊ m oː
झारखण्ड	d͡ʒʱ ɑː ɾ kʰ ə n ɖ
झिझक	d͡ʒʱ ɪ d͡ʒʱ ə k
झील	d͡ʒʱ iː l
झुकना	d͡ʒʱ ʊ k n ɑː
झूठ	d͡ʒʱ uː ʈʰ
झूठा	d͡ʒʱ uː ʈʰ ɑː
झूठे	d ʒʱ uː ʈʰ e
झेलना	d͡ʒʱ eː l n ɑː
झोंपड़ा	d͡ʒʱ oː m p ɽ ɑː
झोली	d͡ʒʱ oː l iː
टकराव	ʈ ə k ɾ ɑː ʋ
टटोलना	ʈ ə ʈ oː l n ɑː
टब	ʈ ə b
टांग	ʈ ɑː ŋ ɡ
टापू	ʈ ɑː p uː
टिप्पणी	ʈ ɪ p p ə n iː
टीकाकरण	ʈ iː k ɑː k ə ɾ ə n
टीम	ʈ iː m
टीस	ʈ iː s
टूर्नामेंट	ʈ uː ɾ n ɑː m eː n ʈ
टेक	ʈ eː k
टैंकर	ʈ ɛː ŋ k ə ɾ
टैक्स	ʈ ɛː k s
टोकना	ʈ oː k n ɑː
टोकरा	ʈ oː k ɾ ɑː
टोक्यो	ʈ oː k j oː
टोपी	ʈ oː p iː
टोरंटो	ʈ oː ɾ ə n ʈ oː
ट्यूनिशिया	ʈ j uː n ɪ ʃ iː j ɑː
ट्वीट	ʈ ʋ iː ʈ
ठंडक	ʈʰ ə n ɖ ə k
ठंडा	ʈʰ ə n ɖ ɑː
ठिठक	ʈʰ ɪ ʈʰ ə k
ठेठ	ʈʰ eː ʈʰ
ठोस	ʈʰ oː s
डकार	ɖ ə k ɑː ɾ
डरबन	ɖ ə ɾ b ə n
डाक	ɖ ɑː k
डाकघर	ɖ ɑː k ɡʱ ə ɾ
डायनासोर	ɖ ɑː j n ɑː s oː ɾ
डायरी	ɖ ɑː j ə ɾ iː
डार्विन	ɖ ɑː ɾ ʋ ɪ n
डाल	ɖ ɑː l
डालना	ɖ ɑː l n ɑː
डिक्की	ɖ ɪ k k iː
डिजिटल	ɖ ɪ d͡ʒ ɪ ʈ ə l
डिप्टी	ɖ ɪ p ʈ iː
डिमांड	ɖ ɪ m ɑː n ɖ
डीज़ल	ɖ iː z ə l
डीयू	ɖ iː j uː
डुबकी	ɖ ʊ b k iː
डेटा	ɖ eː ʈ ɑː
डेढ़	ɖ eː ɽʱ
डेनमार्क	ɖ eː n m ɑː ɾ k
डेरा	ɖ eː ɾ ɑː
डॉक्टर	ɖ ɔː k ʈ ə ɾ
डोरी	ɖ oː ɾ iː
डोली	ɖ oː l iː
ड्यूक	ɖ j uː k
ढाँचा	ɖʱ ɑ̃ː t͡ʃ ɑː
ढांचा	ɖʱ ɑː ɲ t͡ʃ ɑː
ढाई	ɖʱ ɑː iː
ढाका	ɖʱ ɑː k ɑː
ढाबा	ɖʱ ɑː b ɑː
ढाल	ɖʱ ɑː l
ढीठ	ɖʱ iː ʈʰ
ढील	ɖʱ iː l
ढेर	ɖʱ eː ɾ
ढोंग	ɖʱ oː ŋ ɡ
ढोना	ɖʱ oː n ɑː
तंग	t̪ ə ŋ ɡ
तंबू	t̪ ə m b uː
तक	t̪ ə k
तकरार	t̪ ə k ɾ ɑː ɾ
तकलीफ़	t̪ ə k l iː f
तकिया	t̪ ə k iː j ɑː
तजुर्बा	t̪ ə d͡ʒ ʊ ɾ b ɑː
तटस्थ	t̪ ə ʈ ə s t̪ʰ
तटीय	t̪ ə ʈ iː j
तत्कालीन	t̪ ə t̪ k ɑː l iː n
तथा	t̪ ə t̪ʰ ɑː
तथ्य	t̪ ə t̪ʰ j
तन	t̪ ə n
तनाव	t̪ ə n ɑː ʋ
तब	t̪ ə b
तबला	t̪ ə b l ɑː
तबाह	t̪ ə b ɑːʱ
तबाही	t̪ ə b ɑː ɦ iː
तबीयत	t̪ ə b iː j ə t̪
तमंचा	t̪ ə m ə ɲ t͡ʃ ɑː
तमन्ना	t̪ ə m ə n n ɑː
तमिल	t̪ ə m ɪ l
तय	t̪ ə j
तर	t̪ ə ɾ
तरफ़	t̪ ə ɾ ə f
तरल	t̪ ə ɾ ə l
तराई	t̪ ə ɾ ɑː iː
तरीका	t̪ ə ɾ iː k ɑː
तरेरना	t̪ ə ɾ eː ɾ n ɑː
तर्क	t̪ ə ɾ k
तर्जनी	t̪ ə ɾ d͡ʒ ə n iː
तर्ज़	t̪ ə ɾ z
तल	t̪ ə l
तलवार	t̪ ə l ʋ ɑː ɾ
तलाशी	t̪ ə l ɑː ʃ iː
तले	t̪ ə l eː
तसल्ली	t̪ ə s ə l l iː
तस्करी	t̪ ə s k ə ɾ iː
तस्वीर	t̪ ə s ʋ iː ɾ
तह	t̪ əʱ
तहज़ीब	t̪ ɛːʱ z iː b
तहलका	t̪ ɛːʱ l k ɑː
ताँबा	t̪ ɑ̃ː b ɑː
ताई	t̪ ɑː iː
ताउम्र	t̪ ɑː ʊ m ɾ
ताक	t̪ ɑː k
ताकि	t̪ ɑː k iː
ताज	t̪ ɑː d͡ʒ
ताजपोशी	t̪ ɑː d͡ʒ p oː ʃ iː
ताज़ा	t̪ ɑː z ɑː
तादाद	t̪ ɑː d̪ ɑː d̪
तान	t̪ ɑː n
तानाशाह	t̪ ɑː n ɑː ʃ ɑːʱ
ताप	t̪ ɑː p
तामील	t̪ ɑː m iː l
तारा	t̪ ɑː ɾ ɑː
तारीफ़	t̪ ɑː ɾ iː f
तालमेल	t̪ ɑː l m eː l
तालाब	t̪ ɑː l ɑː b
तालिका	t̪ ɑː l ɪ k ɑː
तालियों	t̪ ɑː l iː j õː
तालु	t̪ ɑː l uː
तावीज़	t̪ ɑː ʋ iː z
तासीर	t̪ ɑː s iː ɾ
तिजोरी	t̪ ɪ d͡ʒ oː ɾ iː
तिब्बत	t̪ ɪ b b ə t̪
तिरंगा	t̪ ɪ ɾ ə ŋ ɡ ɑː
तिरस्कार	t̪ ɪ ɾ ə s k ɑː ɾ
तिरुवनंतपुरम	t̪ ɪ ɾ ʊ ʋ ə n ə n t̪ ə p ʊ ɾ ə m
तीन	t̪ iː n
तीर	t̪ iː ɾ
तीली	t̪ iː l iː
तीव्रता	t̪ iː ʋ ɾ ə t̪ ɑː
तीस	t̪ iː s
तीसरा	t̪ iː s ɾ ɑː
तुम	t ʊ m
तुमने	t̪ ʊ m n eː
तुम्हें	t̪ ʊ m ɦ ẽ
तुर्क	t̪ ʊ ɾ k
तुर्कमेनिस्तान	t̪ ʊ ɾ k m eː n ɪ s t̪ ɑː n
तुर्किस्तान	t̪ ʊ ɾ k ɪ s t̪ ɑː n
तुलनात्मक	t̪ ʊ l ə n ɑː t̪ m ə k
तुलसी	t̪ ʊ l s iː
तुष्टीकरण	t̪ ʊ ʃ ʈ iː k ə ɾ ə n
तू	t̪ uː
तूफ़ान	t̪ uː f ɑː n
तेज	t̪ eː d͡ʒ
तेजपुर	t̪ eː d͡ʒ p ʊ ɾ
तेरा	t̪ eː ɾ ɑː
तेरे	t̪ eː ɾ eː
तेल	t̪ eː l
तेलंगाना	t̪ eː l ə ŋ ɡ ɑː n ɑː
तेलुगू	t̪ eː l ʊ ɡ uː
तैनात	t̪ ɛː n ɑː t̪
तैनाती	t̪ ɛː n ɑː t̪ iː
तो	t̪ oː
तोमर	t̪ oː m ə ɾ
तोहफ़ा	t̪ oːʱ f ɑː
तौर	t̪ ɔː ɾ
तौहीन	t̪ ɔː ɦ iː n
त्यागपत्र	t̪ j ɑː ɡ p ə t̪ ɾ
त्यौहार	t̪ j ɔː ɦ ɑː ɾ
त्रासदी	t̪ ɾ ɑː s d̪ iː
त्रिपुरा	t̪ ɾ ɪ p ʊ ɾ ɑː
त्वचा	t̪ ʋ ə t͡ʃ ɑː
त्वरित	t̪ ʋ ə ɾ ɪ t̪
थकान	t̪ʰ ə k ɑː n
थकावट	t̪ʰ ə k ɑː ʋ ə ʈ
थाई	t̪ʰ ɑː iː
थाना	t̪ʰ ɑː n ɑː
थानेदार	t̪ʰ ɑː n eː d̪ ɑː ɾ
थैला	t̪ʰ ɛː l ɑː
थोक	t̪ʰ oː k
थोड़ा	t̪ʰ oː ɽ ɑː
थोपना	t̪ʰ oː p n ɑː
दंग	d̪ ə ŋ ɡ
दंगल	d̪ ə ŋ ɡ ə l
दंगा	d̪ ə ŋ ɡ ɑː
दंड	d̪ ə n ɖ
दंभ	d̪ ə m bʱ
दंश	d̪ ə n ʃ
दक्ष	d̪ ə k ʃ
दक्षिण	d̪ ə k ʃ ɪ n
दक्षिणा	d̪ ə k ʃ ɪ n ɑː
दफ़तर	d̪ ə f t̪ ə ɾ
दफ़ा	d̪ ə f ɑː
दबदबा	d̪ ə b d̪ ə b ɑː
दबाना	d̪ ə b aː n̪ aː
दबाव	d̪ ə b ɑː ʋ
दमन	d̪ ə m ə n
दर	d̪ ə ɾ
दरअसल	d̪ ə ɾ ə s ə l
दरगाह	d̪ ə ɾ ɡ ɑːʱ
दरबार	d̪ ə ɾ b ɑː ɾ
दरमियान	d̪ ə ɾ m iː j ɑː n
दरवाज़ा	d̪ ə ɾ ʋ ɑː z ɑː
दरार	d̪ ə ɾ ɑː ɾ
दर्ज	d̪ ə ɾ d͡ʒ
दर्द	d̪ ə ɾ d̪
दर्दनाक	d̪ ə ɾ d̪ n ɑː k
दर्शन	d̪ ə ɾ ʃ ə n
दल	d̪ ə l
दलहन	d̪ ə l ɦ ə n
दलाल	d̪ ə l ɑː l
दलित	d̪ ə l ɪ t̪
दलील	d̪ ə l iː l
दवाई	d̪ ə ʋ ɑː iː
दशमलव	d̪ ə ʃ ə m l ə ʋ
दशहरा	d̪ ə ʃ ɛːʱ ɾ ɑː
दस	d̪ ə s
दस्यु	d̪ ə s j uː
दहला	d̪ ɛːʱ l ɑː
दही	d̪ ə ɦ iː
दाँत	d̪ ɑ̃ː t̪
दाँव	d̪ ɑ̃ː ʋ
दाई	d̪ ɑː iː
दाता	d̪ ɑː t̪ ɑː
दाताओं	d̪ ɑː t̪ ɑː oː n
दादा	d̪ ɑː d̪ ɑː
दादी	d̪ ɑː d̪ iː
दाम	d̪ ɑː m
दामन	d̪ ɑː m ə n
दायर	d̪ ɑː j ə ɾ
दारू	d̪ ɑː ɾ uː
दाल	d̪ ɑː l
दावत	d̪ ɑː ʋ ə t̪
दावेदार	d̪ ɑː ʋ eː d̪ ɑː ɾ
दाहिने	d̪ ɑː ɦ ɪ n eː
दिखावा	d̪ ɪ kʰ ɑː ʋ ɑː
दिगंबर	d̪ ɪ ɡ ə m b ə ɾ
दिग्गज	d̪ ɪ ɡ ɡ ə d͡ʒ
दिनेश	d̪ ɪ n eː ʃ
दिया	d̪ iː j ɑː
दिल	d̪ ɪ l
दिलचस्पी	d̪ ɪ l t͡ʃ ə s p iː
दिली	d̪ ɪ l iː
दिवाली	d̪ ɪ ʋ ɑː l iː
दिसंबर	d̪ ɪ s ə m b ə ɾ
दीदार	d̪ iː d̪ ɑː ɾ
दीनार	d̪ iː n ɑː ɾ
दीपक	d̪ iː p ə k
दीपावली	d̪ iː p ɑː ʋ l iː
दीया	d̪ iː j ɑː
दीर्घ	d̪ iː ɾ ɡʱ
दीवान	d̪ iː ʋ ɑː n
दीवार	d̪ iː ʋ ɑː ɾ
दुकान	d̪ ʊ k ɑː n
दुपट्टा	d̪ ʊ p ə ʈ ʈ ɑː
दुबई	d̪ ʊ b ə iː
दुर्गंध	d̪ ʊ ɾ ɡ ə n d̪ʱ
दुर्घटनाग्रस्त	d̪ ʊ ɾ ɡʱ ə ʈ n ɑː ɡ ɾ ə s t̪
दुर्भाग्य	d̪ ʊ ɾ bʱ ɑː ɡ j
दुर्भाग्यवश	d̪ ʊ ɾ bʱ ɑː ɡ j ə ʋ ə ʃ
दुर्भावना	d̪ ʊ ɾ bʱ ɑː ʋ n ɑː
दुर्व्यवहार	d̪ ʊ ɾ ʋ j ə ʋ ɦ ɑː ɾ
दुष्चक्र	d̪ ʊ ʃ t͡ʃ ə k ɾ
दुष्ट	d̪ ʊ ʃ ʈ
दुहाई	d̪ ʊ ɦ ɑː iː
दूतावास	d̪ uː t̪ ɑː ʋ ɑː s
दूध	d̪ uː d̪ʱ
दूधिया	d̪ uː d̪ʱ ɪ j ɑː
दूना	d̪ uː n ɑː
दूरदर्शिता	d̪ uː ɾ d̪ ə ɾ ʃ ɪ t̪ ɑː
दूरबीन	d̪ uː ɾ b iː n
दूरी	d̪ uː ɾ iː
दूल्हा	d̪ uː l ɦ ɑː
दूसरा	d̪ uː s ɾ ɑː
दृश्य	d̪ ɾ ɪ ʃ j
दृष्टि	d̪ ɾ ɪ ʃ ʈ iː
दे	d̪ eː
देखना	d̪ eː kʰ n ɑː
देन	d̪ eː n
देना	d̪ eː n ɑː
देने	d̪ eː n eː
देर	d̪ eː ɾ
देव	d̪ eː ʋ
देवदार	d̪ eː ʋ d̪ ɑː ɾ
देवल	d̪ eː ʋ ə l
देवी	d̪ eː ʋ iː
देश	d̪ eː ʃ
देशभक्त	d̪ eː ʃ bʱ ə k t̪
देशी	d̪ eː ʃ iː
देहरादून	d̪ eːʱ ɾ ɑː d̪ uː n
देहांत	d̪ eː ɦ ɑː n t̪
देहात	d̪ eː ɦ ɑː t̪
दो	d̪ oː
दोगुना	d̪ oː ɡ ʊ n ɑː
दोपहर	d̪ oː p ɛːʱ ɾ
दोष	d̪ oː ʃ
दोषी	d̪ oː ʃ iː
दोस्त	d̪ oː s t̪
दोहा	d̪ oː ɦ ɑː
दौड़	d̪ ɔː ɽ
दौर	d̪ ɔː ɾ
दौलतमंद	d̪ ɔː l ə t̪ m ə n d̪
द्रविड़	d̪ ɾ ə ʋ ɪ ɽ
द्रुतगामी	d̪ ɾ ʊ t̪ ɡ ɑː m iː
द्वार	d̪ ʋ aː r
द्वारा	d̪ ʋ ɑː ɾ ɑː
द्विपक्षीय	d̪ ʋ ɪ p ə k ʃ iː j
धंधा	d̪ʱ ə n d̪ʱ ɑː
धड़कन	d̪ʱ ə ɽ k ə n
धनिया	d̪ʱ ə n iː j ɑː
धनी	d̪ʱ ə n iː
धन्यवाद	d̪ʱ ə n j ə ʋ ɑː d̪
धब्बा	d̪ʱ ə b b ɑː
धमकाना	d̪ʱ ə m k ɑː n ɑː
धमकी	d̪ʱ ə m k iː
धमनी	d̪ʱ ə m n iː
धरती	d̪ʱ ə ɾ t̪ iː
धरना	d̪ʱ ə ɾ n ɑː
धरातल	d̪ʱ ə ɾ ɑː t̪ ə l
धर्म	d̪ʱ ə ɾ m
धर्मनिरपेक्ष	d̪ʱ ə ɾ m n ɪ ɾ p eː k ʃ
धर्मनिरपेक्षता	d̪ʱ ə ɾ m n ɪ ɾ p eː k ʃ t̪ ɑː
धर्मशाला	d̪ʱ ə ɾ ə m ʃ ɑː l ɑː
धर्मार्थ	d̪ʱ ə ɾ m ɑː ɾ t̪ʰ
धाकड़	d̪ʱ ɑː k ə ɽ
धाम	d̪ʱ ɑː m
धारणा	d̪ʱ ɑː ɾ n ɑː
धारा	d̪ʱ ɑː ɾ ɑː
धावा	d̪ʱ ɑː ʋ ɑː
धीरे	d̪ʱ iː ɾ eː
धुंध	d̪ʱ ʊ n d̪ʱ
धूप	d̪ʱ uː p
धूम	d̪ʱ uː m
धैर्य	d̪ʱ ɛː ɾ j
धोखा	d̪ʱ oː kʰ ɑː
धोखेबाज़	d̪ʱ oː kʰ eː b ɑː z
धोना	d̪ʱ oː n̪ ɑː
धोबी	d̪ʱ oː b iː
ध्यान	d̪ʱ j ɑː n
ध्रुवीकरण	d̪ʱ ɾ ʊ ʋ iː k ɾ ə n
ध्वज	d̪ʱ ʋ ə d͡ʒ
ध्वजा	d̪ʱ ʋ ə d͡ʒ ɑː
ध्वस्त	d̪ʱ ʋ ə s t̪
नंबर	n ə m b ə ɾ
नई	n ə iː
नकेल	n ə k eː l
नगण्य	n ə ɡ ə n j
नगर	n ə ɡ ə ɾ
नज़रबंदी	n ə z ə ɾ b ə n d̪ iː
नटखट	n ə ʈ kʰ ə ʈ
नतीजा	n ə t̪ iː d͡ʒ ɑː
नत्थी	n ə t̪ t̪ʰ iː
नदारद	n ə d̪ ɑː ɾ ə d̪
नदी	n ə d iː
नब्ज़	n ə b z
नमक	n ə m ə k
नमाज़	n ə m ɑː z
नमी	n ə m iː
नमूना	n ə m uː n ɑː
नम्रता	n ə m ɾ ə t̪ ɑː
नयन	n ə j ə n
नया	n ə j ɑː
नयी	n ə j iː
नर	n ə ɾ
नरक	n ə ɾ ə k
नरगिस	n ə ɾ ɡ ɪ s
नरसिंह	n ə ɾ s ɪ ŋ ɡʱ
नरेश	n ə ɾ eː ʃ
नर्तक	n ə ɾ t̪ ə k
नर्मदा	n ə ɾ m ə d̪ ɑː
नवंबर	n ə ʋ ə m b ə ɾ
नवजात	n ə ʋ d͡ʒ ɑː t̪
नवनीत	n ə ʋ n iː t̪
नवरात्रि	n ə ʋ ɾ ɑː t̪ ɾ iː
नवविवाहित	n ə ʋ ʋ ɪ ʋ ɑː ɦ ɪ t̪
नवाब	n ə ʋ ɑː b
नवीन	n ə ʋ iː n
नशा	n ə ʃ ɑː
नस	n ə s
नसीब	n ə s iː b
नसीहत	n ə s iː ɦ ə t̪
नस्ल	n ə s l
नस्लभेद	n ə s l bʱ eː d̪
नहर	n ɛːʱ ɾ
नहलाना	n ɛːʱ l ɑː n ɑː
नहीं	n ə ɦ ĩː
ना	n ɑː
नाइनसाफ़ी	n ɑː ɪ n s ɑː f iː
नाई	n ɑː iː
नाक	n ɑː k
नाकाम	n ɑː k ɑː m
नाखून	n ɑː kʰ uː n
नागपुर	n ɑː ɡ p ʊ ɾ
नागवार	n ɑː ɡ ə ʋ ɑː ɾ
नाता	n ɑː t̪ ɑː
नाना	n ɑː n ɑː
नानी	n ɑː n iː
नाभिक	n ɑː bʱ ɪ k
नाम	n ɑː m
नामंज़ूर	n ɑː m ə n z uː ɾ
नामक	n ɑː m ə k
नामकरण	n ɑː m k ə ɾ ə n
नामांकन	n ɑː m ɑː ŋ k ə n
नायब	n ɑː j ə b
नायाब	n ɑː j ɑː b
नायिका	n ɑː j ɪ k ɑː
नारंगी	n ɑː ɾ ə ŋ ɡ iː
नारा	n ɑː ɾ ɑː
नाराज़	n ɑː ɾ ɑː z
नारायण	n ɑː ɾ ɑː j ə n
नारी	n ɑː ɾ iː
नाल	n ɑː l
नाला	n ɑː l ɑː
नाव	n ɑː ʋ
नाशपाती	n ɑː ʃ p ɑː t̪ iː
नासिक	n ɑː s ɪ k
निंदा	n ɪ n d̪ ɑː
निःशुल्क	n ɪʰ ʃ ʊ l k
निकलना	n ɪ k ə l n ɑː
निकारागुआ	n ɪ k ɑː ɾ ɑː ɡ ʊ ɑː
निकाह	n ɪ k ɑːʱ
निगाह	n ɪ ɡ ɑːʱ
निचला	n ɪ t͡ʃ l ɑː
निज	n ɪ d͡ʒ
निजात	n ɪ d͡ʒ ɑː t̪
निजी	n ɪ d͡ʒ iː
निजीकरण	n ɪ d͡ʒ iː k ə ɾ ə n
नित्य	n ɪ t̪ j
निदेशक	n ɪ d̪ eː ʃ ə k
निनानवे	n ɪ n ɑː n ʋ eː
निन्यानवे	n ɪ n j ɑː n ʋ eː
निबंध	n ɪ b ə n d̪ʱ
निभाना	n ɪ bʱ ɑː n ɑː
निमंत्रण	n ɪ m ə n t̪ ɾ ə n
निम्न	n ɪ m n
नियंत्रित	n iː j ə n t̪ ɾ ɪ t̪
नियमित	n iː j ə m ɪ t̪
नियुक्ति	n iː j ʊ k t̪ iː
निरंकुश	n ɪ ɾ ə ŋ k ʊ ʃ
निरपेक्ष	n ɪ ɾ p eː k ʃ
निरस्त	n ɪ ɾ ə s t̪
निराश	n ɪ ɾ ɑː ʃ
निराशा	n ɪ ɾ ɑː ʃ ɑː
निरीक्षक	n ɪ ɾ iː k ʃ ə k
निरीक्षण	n ɪ ɾ iː k ʃ ə n
निर्णय	n ɪ ɾ n ə j
निर्णायक	n ɪ ɾ n ɑː j ə k
निर्देश	n ɪ ɾ d̪ eː ʃ
निर्देशक	n ɪ ɾ d̪ eː ʃ ə k
निर्देशन	n ɪ ɾ d̪ eː ʃ ə n
निर्भर	n ɪ ɾ bʱ ə ɾ
निर्मल	n ɪ ɾ m ə l
निर्माण	n ɪ ɾ m ɑː n
निर्मित	n ɪ ɾ m ɪ t̪
निर्यात	n ɪ ɾ j ɑː t̪
निर्वाचित	n ɪ ɾ ʋ ɑː t͡ʃ ɪ t̪
निलंबित	n ɪ l ə m b ɪ t̪
निवाला	n ɪ ʋ ɑː l ɑː
निवास	n ɪ ʋ ɑː s
निवासी	n ɪ ʋ ɑː s iː
निवृत्त	n ɪ ʋ ɾ ɪ t̪ t̪
निवेदन	n ɪ ʋ eː d̪ ə n
निवेश	n ɪ ʋ eː ʃ
निशान	n ɪ ʃ ɑː n
निश्चय	n ɪ ʃ t͡ʃ ə j
निष्कर्ष	n ɪ ʃ k ə ɾ ʃ
निष्कासन	n ɪ ʃ k ɑː s ə n
निष्कासित	n ɪ ʃ k ɑː s ɪ t̪
निष्क्रिय	n ɪ ʃ k ɾ ɪ j
निष्ठा	n ɪ ʃ ʈʰ ɑː
निष्पक्ष	n ɪ ʃ p ə k ʃ
निसार	n ɪ s ɑː ɾ
निस्संदेह	n ɪ s s ə n d̪ eːʱ
नींबू	n iː m b uː
नींव	n ĩː ʋ
नीति	n iː t̪ iː
नीतिगत	n iː t̪ ɪ ɡ ə t̪
नीयत	n iː j ə t̪
नील	n iː l
नीलम	n iː l ə m
नीला	n iː l ɑː
नीलाम	n iː l ɑː m
नुमाइंदगी	n ʊ m ɑː ɪ n d̪ ə ɡ iː
नुमाइंदा	n ʊ m ɑː ɪ n d̪ ɑː
नुमाइश	n ʊ m ɑː ɪ ʃ
नुस्खा	n ʊ s kʰ ɑː
नूर	n uː ɾ
नृत्य	n ɾ ɪ t̪ j ə
ने	n eː
नेक	n eː k
नेकी	n eː k iː
नेटवर्क	n eː ʈ ʋ ə ɾ k
नेता	n eː t̪ ɑː
नेतृत्व	n eː t̪ ɾ ɪ t̪ ʋ
नेत्र	n eː t̪ ɾ
नेपथ्य	n eː p ə t̪ʰ j
नेम	n eː m
नेस्तनाबूद	n eː s t̪ ə n ɑː b uː d̪
नैन	n ɛː n
नॉर्वे	n ɔː ɾ ʋ eː
नोएडा	n oː eː ɖ ɑː
नोट	n oː ʈ
नोटबुक	n oː ʈ b ʊ k
नौकर	n ɔː k ə ɾ
नौकरशाही	n ɔː k ə ɾ ʃ ɑː ɦ iː
नौका	n ɔː k ɑː
नौबत	n ɔː b ə t̪
नौसेना	n ɔː s eː n ɑː
न्याय	n j ɑː j
न्यायिक	n j ɑː j ɪ k
न्यास	n j ɑː s
न्यूज़	n j uː z
न्यूनतम	n j uː n t̪ ə m
न्योता	n j oː t̪ ɑː
पंक्ति	p ə ŋ k t̪ iː
पंखा	p ə ŋ kʰ ɑː
पंगु	p ə ŋ ɡ uː
पंचशील	p ə ɲ t͡ʃ ʃ iː l
पंचायत	p ə ɲ t͡ʃ ɑː j ə t̪
पंचायती	p ə ɲ t͡ʃ ɑː j ə t̪ iː
पंछी	p ə ɲ t͡ʃʰ iː
पंजाब	p ə ɲ d͡ʒ ɑː b
पंजीकरण	p ə ɲ d͡ʒ iː k ə ɾ ə n
पंडाल	p ə n ɖ ɑː l
पंडित	p ə n ɖ ɪ t̪
पंसारी	p ə n s ɑː ɾ iː
पकवान	p ə k ʋ ɑː n
पकाना	p ə k ɑː n ɑː
पक्का	p ə k k ɑː
पक्षधर	p ə k ʃ d̪ʱ ə ɾ
पक्षपात	p ə k ʃ p ɑː t̪
पक्षपातपूर्ण	p ə k ʃ p ɑː t̪ p uː ɾ n
पखवाड़ा	p ə kʰ ʋ ɑː ɽ ɑː
पगला	p ə ɡ l ɑː
पचहत्तर	p ə t͡ʃʰ ə t̪ t̪ ə ɾ
पचानवे	p ə t͡ʃ ɑː n ʋ eː
पचास	p ə t͡ʃ ɑː s
पछाड़	p ə t͡ʃʰ ɑː ɽ
पछाड़ना	p ə t͡ʃʰ ɑː ɽ n ɑː
पटरी	p ə ʈ ɾ iː
पटवारी	p ə ʈ ʋ ɑː ɾ iː
