adda	a tː a
kunnur	kʰ ʏ nː ʏ r
kurt	kʰ ʏ r̥ t
kurteisi	kʰ ʏ r̥ t e iː s ɪ
kuðungur	kʰ ʏː ð u ŋ k ʏ r
kvað	kʰ v aː ð
kvef	kʰ v ɛː v
kveikja	kʰ v e iː c a
kveina	kʰ v e iː n a
kvelja	kʰ v ɛ l j a
kveða	kʰ v ɛː ð a
kveðskapur	kʰ v ɛ ð s k aː p ʏ r
kvikasilfur	kʰ v ɪː k a s ɪ l v ʏ r
kvikmynd	kʰ v ɪː k m ɪ n t
kvittun	kʰ v ɪ h t ʏ n
kvæði	kʰ v a iː ð ɪ
kví	kʰ v iː
kvísl	kʰ v i s t l
kvíða	kʰ v iː ð a
kvíði	kʰ v iː ð ɪ
kvöld	kʰ v œ l t
kvöldmatur	kʰ v œ l t m aː t ʏ r
kvörn	kʰ v œ r t n
kvöð	kʰ v œː ð
kynbundinn	cʰ ɪ n p ʏ n t ɪ nː
kynda	cʰ ɪ n t a
kyngja	cʰ i ɲ c a
kynna	cʰ ɪ nː a
kynnir	cʰ ɪ nː ɪ r
kynslóð	cʰ ɪ n s t l o uː ð
kyrrð	cʰ ɪ r ð
kál	kʰ a uː l
kála	kʰ a uː l a
kápa	kʰ a uː p a
kára	kʰ a uː r a
kári	kʰ a uː r ɪ
kæla	cʰ a iː l a
kæliskápur	cʰ a iː l ɪ s k aː p ʏ r
kær	cʰ a iː r
kíkir	cʰ iː c ɪ r
kíló	cʰ iː l o uː
kók	kʰ o uː k
kólna	kʰ o u l n a
kórea	kʰ o uː r ɛː a
kóríander	kʰ o uː r iː j a n t ɛː r
kóða	kʰ o uː ð a
köfnun	kʰ œ p n ʏ n
köfnunarefni	kʰ œ p n ʏ n a r ɛ p n ɪ
köggull	kʰ œ kː ʏ t l
köllun	kʰ œ t l ʏ n
kúga	k uː a
kúka	kʰ uː k a
kúkur	kʰ uː k ʏ r
kúl	kʰ uː l
kúld	kʰ u l t
kútur	kʰ uː t ʏ r
kýli	cʰ iː l ɪ
kýpur	cʰ iː p ʏ r
labba	l a pː a
lag	l aː ɣ
laga	l aː ɣ a
lager	l aː ɣ ɛ r
laginn	l a iː j ɪ nː
lagður	l a ɣ ð ʏ r
lak	l aː k
lakkrís	l a h k r iː s
lamb	l a m p
lambakjöt	l a m p a cʰ œː t
land	l a n t
landafræði	l a n t a f r a iː ð ɪ
landamæri	l a n t a m a iː r ɪ
landbúnaður	l a n t p uː n aː ð ʏ r
landi	l a n t ɪ
landráð	l a n t r a uː ð
landslag	l a n s l aː ɣ
landsvala	l a n t s v aː l a
landsvæði	l a n t s v a iː ð ɪ
langa	l a u ŋ k a
langafi	l a u ŋ k aː v ɪ
lara	l aː r a
last	l a s t
latur	l aː t ʏ r
lauf	l ø yː v
laufblað	l ø y v p l aː ð
laug	l ø yː ɣ
lauga	l ø yː ɣ a
laugardagur	l ø yː ɣ a r t aː ɣ ʏ r
lauma	l ø yː m a
laun	l ø yː n
launahækkun	l ø yː n a h a i h k ʏ n
laus	l ø yː s
lausn	l ø y s t n
lea	l ɛː a
leg	l ɛː ɣ
lega	l ɛː ɣ a
leggja	l ɛ cː a
leggur	l ɛ kː ʏ r
leif	l e iː v
leifar	l e iː v a r
leiftur	l e i f t ʏ r
leiga	l e iː ɣ a
leigja	l e iː j a
leigubíll	l e iː ɣ ʏ p i t l
leika	l e iː k a
leikari	l e iː k aː r ɪ
leikkona	l e iː k kʰ ɔː n a
leikmaður	l e iː k m aː ð ʏ r
leikmynd	l e iː k m ɪ n t
leikskóli	l e i k s k o uː l ɪ
leikur	l e iː k ʏ r
leikvangur	l e iː k v a u ŋ k ʏ r
leir	l e iː r
leit	l e iː t
leiðangur	l e iː ð a u ŋ k ʏ r
leiðari	l e iː ð aː r ɪ
leiðarstef	l e iː ð a r s t ɛː v
leiði	l e iː ð ɪ
leiðindi	l e iː ð ɪ n t ɪ
leiðni	l e i ð n ɪ
leiðrétting	l e i ð r j ɛ h t i ŋ k
leiðsögumaður	l e i ð s œː ɣ ʏ m aː ð ʏ r
leiðtogi	l e i ð tʰ ɔː j ɪ
leiður	l e iː ð ʏ r
lenda	l ɛ n t a
lengd	l e i ŋ k t
lengja	l e i ɲ c a
lengjast	l e i ɲ c a s t
lerki	l ɛ r̥ c ɪ
les	l ɛː s
lesa	l ɛː s a
lesandi	l ɛː s a n t ɪ
lesbía	l ɛ s p iː j a
lest	l ɛ s t
lestun	l ɛ s t ʏ n
lettland	l ɛ h t l a n t
letur	l ɛː t ʏ r
leyfa	l e iː v a
leyfi	l e iː v ɪ
leyna	l e iː n a
leynd	l e i n t
leyndarmál	l e i n t a r m a uː l
leysa	l e iː s a
leysir	l e iː s ɪ r
lifa	l ɪː v a
lifandi	l ɪː v a n t ɪ
lifur	l ɪː v ʏ r
lilja	l ɪ l j a
limgerði	l ɪ m c ɛ r ð ɪ
linna	l ɪ nː a
lipurð	l ɪː p ʏ r ð
lirfa	l ɪ r v a
list	l ɪ s t
litarefni	l ɪː t a r ɛ p n ɪ
litháen	l ɪː t h a uː ɛː n
litháíska	l ɪː t h a uː i s k a
litur	l ɪː t ʏ r
litín	l ɪː tʰ iː n
lið	l ɪː ð
liðamót	l ɪː ð a m o uː t
liður	l ɪː ð ʏ r
ljá	l j a uː
ljón	l j o uː n
ljós	l j o uː s
ljóseind	l j o uː s e i n t
ljóska	l j o u s k a
ljósmóðir	l j o uː s m o uː ð ɪ r
ljóstillífun	l j o uː s t ɪ l l iː v ʏ n
ljótur	l j o uː t ʏ r
ljóð	l j o uː ð
ljóðskáld	l j o u ð s k a u l t
ljúga	l j uː a
ljúka	l j uː k a
lofa	l ɔː v a
loft	l ɔ f t
loftslag	l ɔ f t s l aː ɣ
lofttæmi	l ɔ f t tʰ a iː m ɪ
loga	l ɔː ɣ a
logi	l ɔ iː j ɪ
lok	l ɔː k
loka	l ɔː k a
loki	l ɔː c ɪ
long	l ɔ ŋː
loppa	l ɔ h p a
lortur	l ɔ r̥ t ʏ r
lottó	l ɔ h t o uː
loðinn	l ɔː ð ɪ nː
loðna	l ɔ ð n a
lukka	l ʏ h k a
lundi	l ʏ n t ɪ
lunga	l u ŋ k a
lyf	l ɪː v
lyfta	l ɪ f t a
lygari	l ɪː ɣ aː r ɪ
lygi	l ɪ iː j ɪ
lykill	l ɪː c ɪ t l
lyklaborð	l ɪ h k l a p ɔ r ð
lykt	l ɪ x t
lykta	l ɪ x t a
lyng	l i ŋ k
lyst	l ɪ s t
lá	l a uː
láglendi	l a u ɣ l ɛ n t ɪ
lágmark	l a u ɣ m a r̥ k
lán	l a uː n
lána	l a uː n a
lárus	l a uː r ʏ s
lægð	l a i ɣ ð
læknir	l a i h k n ɪ r
læknisfræði	l a i h k n ɪ s f r a iː ð ɪ
læknisskoðun	l a i h k n ɪ s s k ɔː ð ʏ n
lækur	l a iː k ʏ r
læra	l a iː r a
lærdómur	l a i r t o uː m ʏ r
læri	l a iː r ɪ
læti	l a iː t ɪ
læða	l a iː ð a
lén	l j ɛː n
léreft	l j ɛː r ɛ f t
létta	l j ɛ h t a
léttir	l j ɛ h t ɪ r
léttur	l j ɛ h t ʏ r
léttúð	l j ɛ h t uː ð
líf	l iː v
lífeðlisfræði	l iː v ɛ ð l ɪ s f r a iː ð ɪ
líffræði	l i f f r a iː ð ɪ
líffræðingur	l i f f r a iː ð i ŋ k ʏ r
líffæri	l i f f a iː r ɪ
lífga	l i v k a
lífrænn	l i v r a i t n
lífsgleði	l i f s k l ɛː ð ɪ
líftími	l iː v tʰ iː m ɪ
lífvera	l i v v ɛː r a
lík	l iː k
líka	l iː k a
líkami	l iː kʰ aː m ɪ
líkamsrækt	l iː kʰ a m s r a i x t
líkn	l i h k n
líkna	l i h k n a
líkur	l iː k ʏ r
lím	l iː m
lín	l iː n
língresi	l i n k r ɛː s ɪ
lísa	l iː s a
líta	l iː t a
lítill	l iː t ɪ t l
lítri	l iː t r ɪ
lítt	l i h t
líða	l iː ð a
lóa	l o uː a
lóga	l o uː a
lói	l o uː ɪ
lómur	l o uː m ʏ r
lón	l o uː n
lóð	l o uː ð
lóða	l o uː ð a
lög	l œː ɣ
lögbrot	l œː ɣ p r ɔː t
lögfræði	l œ ɣ f r a iː ð ɪ
lögfræðingur	l œ ɣ f r a iː ð i ŋ k ʏ r
lögga	l œ kː a
löggjafarvald	l œ ɣ c aː v a r v a l t
löggjöf	l œ ɣ c œː v
lögmaður	l œ ɣ m aː ð ʏ r
lögregla	l œ ɣ r ɛ k l a
lögreglustöð	l œ ɣ r ɛ k l ʏ s t œː ð
lömun	l œː m ʏ n
löngun	l ø y ŋ k ʏ n
lötra	l œː t r a
lúta	l uː t a
lútur	l uː t ʏ r
lúða	l uː ð a
lýsi	l iː s ɪ
lýsing	l iː s i ŋ k
lýsingarorð	l iː s i ŋ k aː r ɔ r ð
lýðræðisríki	l i ð r a iː ð ɪ s r iː c ɪ
lýður	l iː ð ʏ r
maggi	m a cː ɪ
magi	m aː j ɪ
magn	m a k n
magnea	m a k n ɛː a
magnús	m a k n uː s
makedónía	m aː kʰ ɛː t o uː n iː j a
makki	m a h c ɪ
mala	m aː l a
mamma	m a mː a
manna	m a nː a
mannasiður	m a nː a s ɪː ð ʏ r
manneskja	m a nː ɛ s c a
manni	m a nː ɪ
mannorð	m a nː ɔ r ð
mannréttindi	m a nː r j ɛ h t ɪ n t ɪ
manntal	m a nː tʰ aː l
mannvirki	m a nː v ɪ r̥ c ɪ
mappa	m a h p a
mar	m aː r
margfaldur	m a r k f a l t ʏ r
margrét	m a r k r j ɛː t
margur	m a r k ʏ r
mari	m aː r ɪ
mark	m a r̥ k
marka	m a r̥ k a
markaður	m a r̥ k a ð ʏ r
markvörður	m a r̥ k v œ r ð ʏ r
mars	m a r̥ s
marteinn	m a r̥ t e i t n
martröð	m a r̥ tʰ r œː ð
marxismi	m a r̥ k s ɪ s m ɪ
maría	m aː r iː j a
mas	m aː s
mat	m aː t
mata	m aː t a
matareitrun	m aː t aː r e iː t r ʏ n
matreiðslubók	m aː t r e i ð s t l ʏ p o uː k
matskeið	m aː t s c e iː ð
mattur	m a h t ʏ r
matur	m aː t ʏ r
matvara	m aː t v aː r a
maí	m a iː
maðkur	m a θ k ʏ r
mega	m e iː ɣ a
megin	m e iː j ɪ n
megn	m ɛ k n
megna	m ɛ k n a
meirihluti	m e iː r ɪ l̥ ʏː t ɪ
meistaraverk	m e i s t aː r a v ɛ r̥ k
meistari	m e i s t aː r ɪ
meiðsl	m e i ð s t l
meiðsli	m e i ð s t l ɪ
mekka	m ɛ h k a
melaskóli	m ɛː l a s k o uː l ɪ
melding	m ɛ l t i ŋ k
melting	m ɛ l̥ t i ŋ k
melur	m ɛː l ʏ r
men	m ɛː n
menga	m e i ŋ k a
mengun	m e i ŋ k ʏ n
menning	m ɛ nː i ŋ k
meri	m ɛː r ɪ
merki	m ɛ r̥ c ɪ
merkja	m ɛ r̥ c a
merkur	m ɛ r̥ k ʏ r
messa	m ɛ sː a
mestur	m ɛ s t ʏ r
mesópótamía	m ɛː s o uː pʰ o uː t a m iː j a
met	m ɛː t
meta	m ɛː t a
metan	m ɛː tʰ aː n
metfé	m ɛː t f j ɛː
metnaður	m ɛ h t n aː ð ʏ r̥
metri	m ɛː t r ɪ
mexíkó	m ɛ k s iː kʰ o uː
mey	m e iː
meyja	m e iː j a
meyr	m e iː r
meðan	m ɛː ð a n
meðferð	m ɛ ð f ɛ r ð
meðlimur	m ɛ ð l ɪː m ʏ r
meðlæti	m ɛ ð l a iː t ɪ
meðstjórnandi	m ɛ ð s t j o u r t n a n t ɪ
meðstjórnendur	m ɛ ð s t j o u r t n ɛ n t ʏ r
meðvitaður	m ɛ ð v ɪː t aː ð ʏ r
mikael	m ɪː kʰ aː ɛː l
mikill	m ɪː c ɪ t l
mikilvægi	m ɪː c ɪ l v a iː j ɪ
mikið	m ɪː c ɪ ð
mikki	m ɪ h c ɪ
millinafn	m ɪ t l ɪ n a p n
milljón	m ɪ l j o uː n
milt	m ɪ l̥ t
milta	m ɪ l̥ t a
minkur	m i ŋ̊ k ʏ r
minna	m ɪ nː a
minni	m ɪ nː ɪ
minnihluti	m ɪ nː ɪ l̥ ʏː t ɪ
minnimáttarkennd	m ɪ nː ɪ m a u h t a r cʰ ɛ n t
minning	m ɪ nː i ŋ k
minnismerki	m ɪ nː ɪ s m ɛ r̥ c ɪ
minnka	m i ŋ̊ k a
minnkun	m i ŋ̊ k ʏ n
misjafn	m ɪː s j a p n
miski	m ɪ s c ɪ
miskunn	m ɪ s k ʏ nː
mistúlka	m ɪː s tʰ u l̥ k a
miða	m ɪː ð a
miðaftann	m ɪː ð a f t a nː
miðaldir	m ɪː ð a l t ɪ r
miðeyra	m ɪː ð e iː r a
miði	m ɪː ð ɪ
miðill	m ɪː ð ɪ t l
miðja	m ɪ ð j a
miðjumaður	m ɪ ð j ʏ m aː ð ʏ r
miðlari	m ɪ ð l aː r ɪ
miðstig	m ɪ ð s t ɪː ɣ
miðvörður	m ɪ ð v œ r ð ʏ r
mjálm	m j a u l m
mjókka	m j o u h k a
mjólk	m j o u l̥ k
mjólka	m j o u l̥ k a
mjólkurkýr	m j o u l̥ k ʏ r cʰ iː r
mjólkursúkkulaði	m j o u l̥ k ʏ r s u h k ʏ l aː ð ɪ
mjór	m j o uː r
mjölnir	m j œ l n ɪ r
mjöðm	m j œ ð m
mjöður	m j œː ð ʏ r
mjúkur	m j uː k ʏ r
moll	m ɔ lː
mont	m ɔ n̥ t
monta	m ɔ n̥ t a
morgunmatur	m ɔ r k ʏ n m aː t ʏ r
morgunn	m ɔ r k ʏ nː
morgunverður	m ɔ r k ʏ n v ɛ r ð ʏ r
morthens	m ɔ r̥ t ɛ n s
morð	m ɔ r ð
morðingi	m ɔ r ð i ɲ c ɪ
mosi	m ɔː s ɪ
moska	m ɔ s k a
muna	m ʏː n a
mund	m ʏ n t
munkur	m u ŋ̊ k ʏ r
munni	m ʏ nː ɪ
munnur	m ʏ nː ʏ r
munstur	m ʏ n s t ʏ r
munu	m ʏː n ʏ
munur	m ʏː n ʏ r
mygla	m ɪ k l a
mynd	m ɪ n t
mynda	m ɪ n t a
myndarlegur	m ɪ n t a r l ɛː ɣ ʏ r
myndavél	m ɪ n t a v j ɛː l
mynt	m ɪ n̥ t
myrkur	m ɪ r̥ k ʏ r
myrkvi	m ɪ r̥ k v ɪ
myrða	m ɪ r ð a
mysa	m ɪː s a
má	m a uː
mágur	m a uː ʏ r
mál	m a uː l
málband	m a u l p a n t
málfar	m a u l f aː r
málfrelsi	m a u l f r ɛ l s ɪ
málfræði	m a u l f r aː i ð ɪ
málmey	m a u l m e iː
málning	m a u l n i ŋ k
málsgrein	m a u l s k r e iː n
málsháttur	m a u l s h a u h t ʏ r
máltíð	m a u l tʰ iː ð
málverk	m a u l v ɛ r̥ k
máni	m a uː n ɪ
mánudagur	m a uː n ʏ t aː ɣ ʏ r
mánuður	m a uː n ʏː ð ʏ r
már	m a uː r
mát	m a uː t
máta	m a uː t a
mæla	m a iː l a
mæna	m a iː n a
mæta	m a iː t a
mæðgur	m a i ð k ʏ r
mæði	m a iː ð ɪ
mí	m iː
mía	m iː j a
míga	m iː ɣ a
mínus	m iː n ʏ s
mínúta	m iː n uː t a
mólendi	m o uː l ɛ n t ɪ
mót	m o uː t
móta	m o uː t a
mótbára	m o uː t p a uː r a
mótmæla	m o uː t m a iː l a
mótorhjól	m o uː t ɔ r ç o uː l
móttaka	m o uː t tʰ aː k a
mótun	m o uː t ʏ n
móðga	m o u ð k a
móðir	m o uː ð ɪ r
móður	m o uː ð ʏ r
móðurbróðir	m o uː ð ʏ r p r o uː ð ɪ r
móðurmál	m o uː ð ʏ r m a uː l
móðursystir	m o uː ð ʏ r s ɪ s t ɪ r
möller	m œ lː ɛ r
mör	m œː r
mötun	m œː t ʏ n
múhameð	m uː h a m ɛː ð
múslimi	m u s t l ɪː m ɪ
múta	m uː t a
mýfluga	m iː f l ʏː ɣ a
mýkt	m i x t
mýri	m iː r ɪ
mývatn	m iː v aʰ t n
nafar	n aː v a r
nafli	n a p l ɪ
nafn	n a p n
nafna	n a p p a
nafni	n a p n ɪ
nagdýr	n a ɣ t iː r
nagladekk	n a k l a t ɛ h k
namm	n a mː
nammi	n a mː ɪ
narta	n a r̥ t a
natrín	n aː t r iː n
naut	n ø yː t
nautakjöt	n ø yː t a cʰ œː t
nauðgun	n ø y ð k ʏ n
nauðsynlegur	n ø y ð s ɪ n l ɛː ɣ ʏ r
nef	n ɛː v
nefna	n ɛ p n a
nefnd	n ɛ m t
nei	n e iː
nema	n ɛː m a
nemandi	n ɛː m a n t ɪ
nemi	n ɛː m ɪ
nenna	n ɛ nː a
nenni	n ɛ nː ɪ
nes	n ɛː s
nesti	n ɛ s t ɪ
net	n ɛː t
netfang	n ɛː t f a u ŋ k
netla	n ɛ h t l a
neysla	n e i s t l a
neyða	n e iː ð a
nielsen	n i l s ɛ nː
niður	n ɪː ð ʏ r
niðurgangur	n ɪː ð ʏ r k a u ŋ k ʏ r
niðurlæging	n ɪː ð ʏ r l a iː j i ŋ k
niðurlægja	n ɪː ð ʏ r l a iː j a
niðurskurður	n ɪː ð ʏ r s k ʏ r ð ʏ r
niðurstaða	n ɪː ð ʏ r s t aː ð a
njáll	n j a u t l
njósnari	n j o u s t n aː r ɪ
njóta	n j o uː t a
nokkur	n ɔ h k ʏ r
norræna	n ɔ r r a iː n a
norska	n ɔ r̥ s k a
norðaustur	n ɔ r ð ø y s t ʏ r
norðdahl	n ɔ r ð t aː l
norðmaður	n ɔ r ð m aː ð ʏ r
norðurljós	n ɔ r ð ʏ r l j o uː s
norðvestur	n ɔ r ð v ɛ s t ʏ r
nostalgía	n ɔ s t a l c i j a
not	n ɔː t
nota	n ɔː t a
notandi	n ɔː t a n t ɪ
nudda	n ʏ tː a
nyrðra	n ɪ r ð r a
nábrók	n a uː p r o uː k
nágranni	n a uː k r a nː ɪ
nákvæmlega	n a uː kʰ v a i m l ɛː ɣ a
nál	n a uː l
nálarauga	n a uː l a r ø yː ɣ a
nám	n a uː m
nánd	n a u n t
náttúra	n a u h t uː r a
náungi	n a uː u ɲ c ɪ
náð	n a uː ð
nægja	n a iː j a
næla	n a iː l a
næmi	n a iː m ɪ
næra	n a iː r a
nærmynd	n a i r m ɪ n t
nærvera	n a i r v ɛː r a
næs	n a iː s
næsta	n a i s t a
næstur	n a i s t ʏ r
nætur	n a iː t ʏ r
né	n j ɛː
nína	n iː n a
níundi	n iː j ʏ n t ɪ
nóg	n o uː
nói	n o uː ɪ
nökkvi	n œ h k v ɪ
nös	n œː s
nú	n uː
núll	n u lː
núna	n uː n a
núningur	n uː n i ŋ k ʏ r
núpur	n uː p ʏ r
nútíð	n uː tʰ iː ð
nýlega	n iː l ɛː ɣ a
nýr	n iː r
nýting	n iː t i ŋ k
nýyrðasmíð	n iː ɪ r ð a s m iː ð
oddur	ɔ tː ʏ r
oddviti	ɔ tː v ɪ t ɪ
ofan	ɔː v a n
ofbeldi	ɔ v p ɛ l t ɪ
offita	ɔ f f ɪː t a
ofn	ɔ p n
ofnæmi	ɔ v n a iː m ɪ
ofurhetja	ɔː v ʏ r h ɛː t j a
ofviðri	ɔ v v ɪ ð r ɪ
ofvæni	ɔ v v a iː n ɪ
ok	ɔː k
okkar	ɔ h k ɐ r
okkur	ɔ h k ʏ r
olgeirína	ɔ l c e iː r iː n a
olía	ɔː l iː j a
op	ɔ p
opinberun	ɔː p ɪ n p ɛː r ʏ n
opna	ɔ h p n a
opnun	ɔ h p n ʏ n
opnunartími	ɔ h p n ʏː n aː r tʰ iː m ɪ
orf	ɔ r v
organisti	ɔ r k a n ɪ s t ɪ
orgel	ɔ r k ɛː l
orka	ɔ r̥ k a
orsök	ɔ r̥ s œː k
orð	ɔ r ð
orða	ɔ r ð a
orðstír	ɔ r ð s tʰ iː r
ostakaka	ɔ s t a kʰ aː k a
pakki	pʰ a h c ɪ
palestína	pʰ aː l ɛ s t iː n a
panna	pʰ a nː a
panta	pʰ a n̥ t a
pappír	pʰ a h p iː r
par	pʰ aː r
partur	pʰ a r̥ t ʏ r
partí	pʰ a r̥ t i
parís	pʰ aː r iː s
pasta	pʰ a s t a
pendúll	pʰ ɛ n t ʏ t l
peningur	pʰ ɛː n i ŋ k ʏ r
penni	pʰ ɛ nː ɪ
perla	pʰ ɛ r t l a
persóna	pʰ ɛ r̥ s o uː n a
persónulega	pʰ ɛ r̥ s o uː n ʏ l ɛː ɣ a
petersen	pʰ ɛː t ɛ r̥ s ɛ nː
pils	pʰ ɪ l s
piltur	pʰ ɪ l̥ t ʏ r
pinni	pʰ ɪ nː ɪ
pipar	pʰ ɪː p a r
pirra	pʰ ɪ rː a
pissa	pʰ ɪ sː a
pistill	pʰ ɪ s t ɪ t l
planta	pʰ l a n̥ t a
plast	pʰ l a s t
plata	pʰ l aː t a
plága	pʰ l a uː a
pláss	pʰ l a u sː
plástur	pʰ l a u s t ʏ r
plús	pʰ l uː s
poka	pʰ ɔː k a
poki	pʰ ɔː c ɪ
polli	pʰ ɔ lː ɪ
popp	pʰ ɔ h p
poppkorn	pʰ ɔ h p kʰ ɔ r t n
posi	pʰ ɔː s ɪ
postuli	pʰ ɔ s t ʏː l ɪ
pottur	pʰ ɔ h t ʏ r
predika	pʰ r ɛː t ɪː k a
predikun	pʰ r ɛː t ɪ k ʏ n
prenta	pʰ r ɛ n̥ t a
prentsmiðja	pʰ r ɛ n̥ t s m ɪ ð j a
prentun	pʰ r ɛ n̥ t ʏ n
prestastefna	pʰ r ɛ s t a s t ɛ p n a
prestur	pʰ r ɛ s t ʏ r
prins	pʰ r ɪ n s
prinsessa	pʰ r ɪ n s ɛ sː a
prísund	pʰ r iː s ʏ n t
próf	pʰ r o uː v
prófa	pʰ r o uː v a
prófastur	pʰ r o uː v a s t ʏ r
prófessor	pʰ r o uː f ɛ sː ɔ r
prófun	pʰ r o uː v ʏ n
prósenta	pʰ r o uː s ɛ n̥ t a
prýði	pʰ r iː ð ɪ
pund	pʰ ʏ n t
punda	pʰ ʏ n t a
pynta	pʰ ɪ n̥ t a
páll	pʰ a u t l
pálmar	pʰ a u l m a r
pása	pʰ a uː s a
pé	pʰ j ɛː
pétur	p j ɛː t ʏ r
pía	pʰ iː j a
píanó	pʰ iː j aː n o uː
píla	pʰ iː l a
pínulítill	pʰ iː n ʏ l iː t ɪ t l
pípa	pʰ iː p a
pólland	p o u l l a n t
pólska	pʰ o u l s k a
póstkort	pʰ o u s t kʰ ɔ r̥ t
póstur	pʰ o u s t ʏ r
pönnukaka	pʰ œ nː ʏ kʰ aː k a
pöntun	pʰ œ n̥ t ʏ n
púls	pʰ u l s
pútta	pʰ u h t a
púði	pʰ uː ð ɪ
púður	pʰ uː ð ʏ r
radar	r aː t a r
raddblær	r a tː p l a iː r
raftur	r a f t ʏ r
ragnar	r a k n aː r
ragnarök	r a k n a r œː k
ragnheiður	r a k n h e iː ð ʏ r
rak	r aː k
raka	r aː k a
raki	r aː c ɪ
rakvél	r aː k v j ɛː l
rammi	r a mː ɪ
rann	r a nː
rannsókn	r a nː s o u h k n
rasismi	r aː s ɪ s m ɪ
rata	r aː t a
ratsjá	r aː t s j a uː
rauf	r ø yː v
raula	r ø yː l a
raun	r ø yː n
raust	r ø y s t
rauðleitur	r ø y ð l e iː t ʏ r
rauður	r ø yː ð ʏ r
rauðvín	r ø y ð v iː n
raða	r aː ð a
redda	r ɛ tː a
refsa	r ɛ f s a
refsing	r ɛ f s i ŋ k
refur	r ɛː v ʏ r
regla	r ɛ k l a
reglugerð	r ɛ k l ʏ c ɛ r ð
regn	r ɛ k n
reikistjarna	r e iː c ɪ s t j a r t n a
reikningur	r e i h k n i ŋ k ʏ r
rein	r e iː n
reipi	r e iː p ɪ
reisa	r e iː s a
reisn	r e i s t n
reitur	r e iː t ʏ r
reið	r e iː ð
reiða	r e iː ð a
reiði	r e iː ð ɪ
reiðubúinn	r e iː ð ʏ p uː ɪ nː
reiður	r e iː ð ʏ r
reka	r ɛː k a
rekja	r ɛː c a
renta	r ɛ n̥ t a
reykja	r e iː c a
reykur	r e iː k ʏ r
reyna	r e iː n a
reynd	r e i n t
reyndar	r e i n t a r
reynir	r e iː n ɪ r
reynsla	r e i n s t l a
reyta	r e iː t a
riddari	r ɪ tː a r ɪ
rifrildi	r ɪ v r ɪ l t ɪ
rifs	r ɪ f s
rigna	r ɪ k n a
rigning	r ɪ k n i ŋ k
rimma	r ɪ mː a
ris	r ɪː s
risi	r ɪː s ɪ
rismál	r ɪː s m a uː l
rispa	r ɪ s p a
rissa	r ɪ sː a
rist	r ɪ s t
rit	r ɪː t
rita	r ɪː t a
ritari	r ɪː t a r ɪ
ritgerð	r ɪː t c ɛ r ð
rithöfundur	r ɪː t h œː v ʏ n t ʏ r
rið	r ɪː ð
riðill	r ɪː ð ɪ t l
riðla	r ɪ ð l a
rjómaostur	r j o uː m a ɔ s t ʏ r
rjómaís	r j o uː m a iː s
rjúfa	r j uː v a
rjúpa	r j uː p a
romm	r ɔ mː
rot	r ɔː t
rota	r ɔː t a
rotna	r ɔ h t n a
rugga	r ʏ kː a
rugl	r ʏ k l
rugla	r ʏ k l a
rukka	r ʏ h k a
rusl	r ʏ s t l
rustikus	r ʏ s t ɪ kʰ ʏ s
ryk	r ɪː k
ryðfrír	r ɪ ð f r iː r
ryðja	r ɪ ð j a
rák	r a uː k
rán	r a uː n
rás	r a uː s
ráð	r a uː ð
ráða	r a uː ð a
ráðabrugg	r a uː ð a p r ʏ kː
ráðgáta	r a u ð k a uː t a
ráðning	r a u ð n i ŋ k
ráðríkur	r a u ð r iː k ʏ r
rækt	r a i x t
rækta	r a i x t a
ræna	r a iː n a
ræða	r a iː ð a
réttindi	r j ɛ h t ɪ n t ɪ
réttlæti	r j ɛ h t l a iː t ɪ
réttur	r j ɛ h t ʏ r
rífa	r iː v a
rífast	r iː v a s t
ríkharður	r iː k h a r ð ʏ r
ríki	r iː c ɪ
ríkidæmi	r iː c ɪ t a iː m ɪ
ríkisborgari	r iː c ɪ s p ɔ r k a r ɪ
ríkja	r iː c a
ríkur	r iː k ʏ r
rím	r iː m
rís	r iː s
ríða	r iː ð a
ró	r o uː
ról	r o uː l
rólegur	r o uː l ɛː ɣ ʏ r
rós	r o uː s
róður	r o uː ð ʏ r
rödd	r œ tː
rök	r œː k
rökfræði	r œː k f r a iː ð ɪ
rökkur	r œ h k ʏ r
rölt	r œ l̥ t
rölta	r œ l̥ t a
rönd	r œ n t
rör	r œː r
röskun	r œ s k ʏ n
röð	r œː ð
rúgur	r uː ʏ r
rúmur	r uː m ʏ r
rúnar	r uː n aː r
rússland	r u s t l a n t
rússneska	r u sː n ɛ s k a
rússneskur	r u sː t n ɛ s k ʏ r
rúsína	r uː s iː n a
rými	r iː m ɪ
rýna	r iː n a
rýr	r iː r
safamikill	s aː v a m ɪː c ɪ t l
safi	s aː v ɪ
sag	s aː ɣ
saga	s aː ɣ a
sagnfræði	s a k n f r a iː ð ɪ
sagnfræðingur	s a k n f r a iː ð i ŋ k ʏ r
sagnorð	s a k n ɔ r ð
sakaskrá	s aː k a s k r a uː
sakna	s a h k n a
sala	s aː l a
salat	s aː l aː t
salerni	s aː l ɛ r t n ɪ
salt	s a l̥ t
saltfiskur	s a l̥ t f ɪ s k ʏ r
samanburður	s aː m a n p ʏ r ð ʏ r
samband	s a m p a n t
sambland	s a m p l a n t
sameina	s aː m e iː n a
samfélag	s a m f j ɛː l aː ɣ
samheiti	s aː m h e iː t ɪ
samhengi	s a m h e i ɲ c ɪ
samhljómur	s a m l̥ j o uː m ʏ r
