あい	a̠ i
けいぶ	k e̞ː b ɯ̟ᵝ
けいほう	k e̞ː h o̞ː
けいまい	k e̞ː m a̠ i
けいりん	k e̞ː ɾʲ ĩ ɴ
けえ	k e̞ː
けさ	k e̞ s a̠
けしょうしつ	k e̞ ɕ o̞ː ɕ i t͡s ɨᵝ
けす	k e̞ s ɨᵝ
けだもの	k e̞ d a̠ m o̞ n o̞
けっか	k e̞ k̚ k a̠
けっこんしき	k e̞ k̚ k õ̞ ɰ̃ ɕ i kʲ i
けっしん	k e̞ ɕː ĩ ɴ
けってい	k e̞ t̚ t e̞ː
けっとうち	k e̞ t̚ t o̞ː t͡ɕ i
けっぺき	k e̞ p̚ p e̞ kʲ i
けつあつ	k e̞ t͡s ɨᵝ a̠ t͡s ɨᵝ
けつあつけい	k e̞ t͡s ɨᵝ a̠ t͡s ɨᵝ k e̞ː
けつけつ	k e̞ t͡s ɨᵝ k e̞ t͡s ɨᵝ
けつごう	k e̞ t͡s ɨᵝ ɡ o̞ː
けつぞく	k e̞ t͡s ɨᵝ z o̞ k ɯ̟ᵝ
けつぼう	k e̞ t͡s ɨᵝ b o̞ː
けど	k e̞ d o̞
けながいたち	k e̞ n a̠ ɡ a̠ i t a̠ t͡ɕ i
けはい	k e̞ h a̠ i
けものみみ	k e̞ m o̞ n o̞ mʲ i mʲ i
けんあん	k ẽ̞ ɰ̃ ã̠ ɴ
けんきゅういん	k ẽ̞ ŋʲ kʲ ɨᵝː ĩ ɴ
けんきょ	k ẽ̞ ŋʲ kʲ o̞
けんぎゅうか	k ẽ̞ ŋʲ ɡʲ ɨᵝː k a̠
けんさく	k ẽ̞ ɰ̃ s a̠ k ɯ̟ᵝ
けんしこ	k ẽ̞ ɰ̃ ɕ i̥ k o̞
けんしゃ	k ẽ̞ ɰ̃ ɕ a̠
けんしん	k ẽ̞ ɰ̃ ɕ ĩ ɴ
けんしんてき	k ẽ̞ ɰ̃ ɕ ĩ n t e̞ kʲ i
けんじゃ	k ẽ̞ ɲ̟ d͡ʑ a̠
けんじゅつ	k ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
けんせつ	k ẽ̞ ɰ̃ s e̞ t͡s ɨᵝ
けんそううん	k ẽ̞ ɰ̃ s o̞ː ɯ̟̃ᵝ ɴ
けんてい	k ẽ̞ n t e̞ː
けんにょう	k ẽ̞ ɲ̟ ɲ̟ o̞ː
けんばい	k ẽ̞ m b a̠ i
けんぶつにん	k ẽ̞ m b ɯ̟ᵝ t͡s ɨᵝ ɲ̟ ĩ ɴ
けんぺい	k ẽ̞ m p e̞ː
けんぽう	k ẽ̞ m p o̞ː
けんもほろろ	k ẽ̞ mː o̞ h o̞ ɾ o̞ ɾ o̞
げいぎ	ɡ e̞ː ɡʲ i
げいこ	ɡ e̞ː k o̞
げき	ɡ e̞ kʲ i
げじ	ɡ e̞ ʑ i
げせる	ɡ e̞ s e̞ ɾ ɯ̟ᵝ
げせん	ɡ e̞ s ẽ̞ ɴ
げっけい	ɡ e̞ k̚ k e̞ː
げっぺい	ɡ e̞ p̚ p e̞ː
げつがく	ɡ e̞ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
げつめん	ɡ e̞ t͡s ɨᵝ m ẽ̞ ɴ
げどく	ɡ e̞ d o̞ k ɯ̟ᵝ
げほうばこ	ɡ e̞ h o̞ː b a̠ k o̞
げん	ɡ ẽ̞ ɴ
げんいん	ɡ ẽ̞ ɰ̃ ĩ ɴ
げんえい	ɡ ẽ̞ ɰ̃ e̞ː
げんがく	ɡ ẽ̞ ŋ ɡ a̠ k ɯ̟ᵝ
げんさん	ɡ ẽ̞ ɰ̃ s ã̠ ɴ
げんざいち	ɡ ẽ̞ n d͡z a̠ i t͡ɕ i
げんしてき	ɡ ẽ̞ ɰ̃ ɕ i t e̞ kʲ i
げんしょく	ɡ ẽ̞ ɰ̃ ɕ o̞ k ɯ̟ᵝ
げんしりょく	ɡ ẽ̞ ɰ̃ ɕ i ɾʲ o̞ k ɯ̟ᵝ
げんじつ	ɡ ẽ̞ ɲ̟ d͡ʑ i t͡s ɨᵝ
げんじゅう	ɡ ẽ̞ ɲ̟ d͡ʑ ɨᵝː
げんじゅうみん	ɡ ẽ̞ ɲ̟ d͡ʑ ɨᵝː mʲ ĩ ɴ
げんそうきょく	ɡ ẽ̞ ɰ̃ s o̞ː kʲ o̞ k ɯ̟ᵝ
げんそく	ɡ ẽ̞ ɰ̃ s o̞ k ɯ̟ᵝ
げんたい	ɡ ẽ̞ n t a̠ i
げんだいご	ɡ ẽ̞ n d a̠ i ɡ o̞
げんてん	ɡ ẽ̞ n t ẽ̞ ɴ
げんどうき	ɡ ẽ̞ n d o̞ː kʲ i
げんば	ɡ ẽ̞ m b a̠
げんぱつせい	ɡ ẽ̞ m p a̠ t͡s ɨᵝ s e̞ː
げんぴん	ɡ ẽ̞ m pʲ ĩ ɴ
げんめつ	ɡ ẽ̞ mː e̞ t͡s ɨᵝ
げんや	ɡ ẽ̞ ɰ̃ j a̠
こういってん	k o̞ː i t̚ t ẽ̞ ɴ
こうおつ	k o̞ː o̞ t͡s ɨᵝ
こうおつへい	k o̞ː o̞ t͡s ɨᵝ h e̞ː
こうおつへいてい	k o̞ː o̞ t͡s ɨᵝ h e̞ː t e̞ː
こうかくろう	k o̞ː k a̠ k ɯ̟ᵝ ɾ o̞ː
こうがく	k o̞ː ɡ a̠ k ɯ̟ᵝ
こうきしん	k o̞ː kʲ i ɕ ĩ ɴ
こうきょ	k o̞ː kʲ o̞
こうくう	k o̞ː k ɯ̟ᵝː
こうぐん	k o̞ː ɡ ɯ̟̃ᵝ ɴ
こうけっとう	k o̞ː k e̞ t̚ t o̞ː
こうけつあつ	k o̞ː k e̞ t͡s ɨᵝ a̠ t͡s ɨᵝ
こうげい	k o̞ː ɡ e̞ː
こうこ	k o̞ː k o̞
こうこう	k o̞ː k o̞ː
こうご	k o̞ː ɡ o̞
こうごう	k o̞ː ɡ o̞ː
こうさつ	k o̞ː s a̠ t͡s ɨᵝ
こうさん	k o̞ː s ã̠ ɴ
こうしき	k o̞ː ɕ i̥ kʲ i
こうしゃく	k o̞ː ɕ a̠ k ɯ̟ᵝ
こうしゅうでんわ	k o̞ː ɕ ɨᵝː d ẽ̞ ɰ̃ ɰᵝ a̠
こうしょ	k o̞ː ɕ o̞
こうじゅん	k o̞ː ʑ ɨ̃ᵝ ɴ
こうじょう	k o̞ː ʑ o̞ː
こうずい	k o̞ː z ɨᵝ i
こうそくい	k o̞ː s o̞ k ɯ̟ᵝ i
こうそくどうろ	k o̞ː s o̞ k ɯ̟ᵝ d o̞ː ɾ o̞
こうぞく	k o̞ː z o̞ k ɯ̟ᵝ
こうちしょ	k o̞ː t͡ɕ i ɕ o̞
こうどう	k o̞ː d o̞ː
こうなん	k o̞ː n ã̠ ɴ
こうばい	k o̞ː b a̠ i
こうひょう	k o̞ː ç o̞ː
こうぶつがく	k o̞ː b ɯ̟ᵝ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
こうへいむし	k o̞ː h e̞ː m ɯ̟ᵝ ɕ i
こうぼう	k o̞ː b o̞ː
こうむしっこうぼうがい	k o̞ː m ɯ̟ᵝ ɕ i k̚ k o̞ː b o̞ː ɡ a̠ i
こうもうじん	k o̞ː m o̞ː ʑ ĩ ɴ
こうもく	k o̞ː m o̞ k ɯ̟ᵝ
こうもり	k o̞ː m o̞ ɾʲ i
こうもりがさ	k o̞ː m o̞ ɾʲ i ɡ a̠ s a̠
こうや	k o̞ː j a̠
こうゆう	k o̞ː j ɯ̟ᵝː
こうよう	k o̞ː j o̞ː
こうりん	k o̞ː ɾʲ ĩ ɴ
こうる	k o̞ː ɾ ɯ̟ᵝ
こおり	k o̞ː ɾʲ i
こがき	k o̞ ɡ a̠ kʲ i
こきゅうき	k o̞ kʲ ɨᵝː kʲ i
こくえい	k o̞ k ɯ̟ᵝ e̞ː
こくくじら	k o̞ k ɯ̟̊ᵝ k ɯ̟ᵝ ʑ i ɾ a̠
こくご	k o̞ k ɯ̟ᵝ ɡ o̞
こくごう	k o̞ k ɯ̟ᵝ ɡ o̞ː
こくしょう	k o̞ k ɯ̟̊ᵝ ɕ o̞ː
こくふく	k o̞ k ɯ̟ᵝ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
こくゆうか	k o̞ k ɯ̟ᵝ j ɯ̟ᵝː k a̠
こくる	k o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
こけむし	k o̞ k e̞ m ɯ̟ᵝ ɕ i
ここち	k o̞ k o̞ t͡ɕ i
こころざす	k o̞ k o̞ ɾ o̞ z a̠ s ɨᵝ
こころぼそい	k o̞ k o̞ ɾ o̞ b o̞ s o̞ i
こころみる	k o̞ k o̞ ɾ o̞ mʲ i ɾ ɯ̟ᵝ
こさけ	k o̞ s a̠ k e̞
こさめ	k o̞ s a̠ m e̞
こさん	k o̞ s ã̠ ɴ
こし	k o̞ ɕ i
こしんとう	k o̞ ɕ ĩ n t o̞ː
こじいん	k o̞ ʑ i ĩ ɴ
こじつよみ	k o̞ ʑ i t͡s ɨᵝ j o̞ mʲ i
こせい	k o̞ s e̞ː
こだいこうこく	k o̞ d a̠ i k o̞ː k o̞ k ɯ̟ᵝ
こちゃ	k o̞ t͡ɕ a̠
こっか	k o̞ k̚ k a̠
こっきょう	k o̞ k̚ʲ kʲ o̞ː
こっくん	k o̞ k̚ k ɯ̟̃ᵝ ɴ
こっし	k o̞ ɕː i
こっそり	k o̞ sː o̞ ɾʲ i
こっち	k o̞ t̚ t͡ɕ i
こっとうひん	k o̞ t̚ t o̞ː ç ĩ ɴ
こづつみ	k o̞ z ɨᵝ t͡s ɨᵝ mʲ i
ことざ	k o̞ t o̞ z a̠
ことは	k o̞ t o̞ h a̠
こどく	k o̞ d o̞ k ɯ̟ᵝ
こどものひ	k o̞ d o̞ m o̞ n o̞ ç i
こなちゃ	k o̞ n a̠ t͡ɕ a̠
こはん	k o̞ h ã̠ ɴ
こび	k o̞ bʲ i
こふう	k o̞ ɸ ɯ̟ᵝː
こぶし	k o̞ b ɯ̟ᵝ ɕ i
こま	k o̞ m a̠
こまち	k o̞ m a̠ t͡ɕ i
こまつ	k o̞ m a̠ t͡s ɨᵝ
こまぶえ	k o̞ m a̠ b ɯ̟ᵝ e̞
こむ	k o̞ m ɯ̟ᵝ
こもりうた	k o̞ m o̞ ɾʲ i ɯ̟ᵝ t a̠
こもりぐま	k o̞ m o̞ ɾʲ i ɡ ɯ̟ᵝ m a̠
こもる	k o̞ m o̞ ɾ ɯ̟ᵝ
こゆび	k o̞ j ɯ̟ᵝ bʲ i
こより	k o̞ j o̞ ɾʲ i
こらす	k o̞ ɾ a̠ s ɨᵝ
こりる	k o̞ ɾʲ i ɾ ɯ̟ᵝ
こりん	k o̞ ɾʲ ĩ ɴ
こる	k o̞ ɾ ɯ̟ᵝ
ころがる	k o̞ ɾ o̞ ɡ a̠ ɾ ɯ̟ᵝ
ころす	k o̞ ɾ o̞ s ɨᵝ
ころも	k o̞ ɾ o̞ m o̞
こわれる	k o̞ ɰᵝ a̠ ɾ e̞ ɾ ɯ̟ᵝ
こん	k õ̞ ɴ
こんご	k õ̞ ŋ ɡ o̞
こんじょう	k õ̞ ɲ̟ d͡ʑ o̞ː
こんぜつ	k õ̞ n d͡z e̞ t͡s ɨᵝ
こんど	k õ̞ n d o̞
こんぶちゃ	k õ̞ m b ɯ̟ᵝ t͡ɕ a̠
こんぺき	k õ̞ m p e̞ kʲ i
こんやく	k õ̞ ɰ̃ j a̠ k ɯ̟ᵝ
こんらん	k õ̞ n ɾ ã̠ ɴ
こんれい	k õ̞ n ɾ e̞ː
こんろ	k õ̞ n ɾ o̞
ごあく	ɡ o̞ a̠ k ɯ̟ᵝ
ごいしゅう	ɡ o̞ i ɕ ɨᵝː
ごいりょく	ɡ o̞ i ɾʲ o̞ k ɯ̟ᵝ
ごうじ	ɡ o̞ː ʑ i
ごうせいすう	ɡ o̞ː s e̞ː s ɨᵝː
ごうてい	ɡ o̞ː t e̞ː
ごうべんがいしゃ	ɡ o̞ː b ẽ̞ ŋ ɡ a̠ i ɕ a̠
ごうよく	ɡ o̞ː j o̞ k ɯ̟ᵝ
ごうりか	ɡ o̞ː ɾʲ i k a̠
ごうりてき	ɡ o̞ː ɾʲ i t e̞ kʲ i
ごえい	ɡ o̞ e̞ː
ごえもんぶろ	ɡ o̞ e̞ m õ̞ m b ɯ̟ᵝ ɾ o̞
ごがつびょう	ɡ o̞ ɡ a̠ t͡s ɨᵝ bʲ o̞ː
ごくあく	ɡ o̞ k ɯ̟ᵝ a̠ k ɯ̟ᵝ
ごくしょ	ɡ o̞ k ɯ̟ᵝ ɕ o̞
ごくじょう	ɡ o̞ k ɯ̟ᵝ ʑ o̞ː
ごくそく	ɡ o̞ k ɯ̟ᵝ s o̞ k ɯ̟ᵝ
ごくらくちょう	ɡ o̞ k ɯ̟ᵝ ɾ a̠ k ɯ̟̊ᵝ t͡ɕ o̞ː
ごけんてい	ɡ o̞ k ẽ̞ n t e̞ː
ごげんてき	ɡ o̞ ɡ ẽ̞ n t e̞ kʲ i
ごこん	ɡ o̞ k õ̞ ɴ
ごしん	ɡ o̞ ɕ ĩ ɴ
ごしんじゅつ	ɡ o̞ ɕ ĩ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
ごじゅう	ɡ o̞ ʑ ɨᵝː
ごじゅうおん	ɡ o̞ ʑ ɨᵝː õ̞ ɴ
ごじる	ɡ o̞ ʑ i ɾ ɯ̟ᵝ
ごすんくぎ	ɡ o̞ s ɨ̃ᵝ ŋ k ɯ̟ᵝ ɡʲ i
ごぜんちゅう	ɡ o̞ z ẽ̞ ɲ̟ t͡ɕ ɨᵝː
ごっかん	ɡ o̞ k̚ k ã̠ ɴ
ごっこ	ɡ o̞ k̚ k o̞
ごはっと	ɡ o̞ h a̠ t̚ t o̞
ごはん	ɡ o̞ h ã̠ ɴ
ごばん	ɡ o̞ b ã̠ ɴ
ごび	ɡ o̞ bʲ i
ごぼごぼ	ɡ o̞ b o̞ ɡ o̞ b o̞
ごま	ɡ o̞ m a̠
ごろく	ɡ o̞ ɾ o̞ k ɯ̟ᵝ
さいか	s a̠ i k a̠
さいかい	s a̠ i k a̠ i
さいかくにん	s a̠ i k a̠ k ɯ̟ᵝ ɲ̟ ĩ ɴ
さいきんがく	s a̠ i kʲ ĩ ŋ ɡ a̠ k ɯ̟ᵝ
さいこうせい	s a̠ i k o̞ː s e̞ː
さいじょう	s a̠ i ʑ o̞ː
さいた	s a̠ i t a̠
さいちゅう	s a̠ i t͡ɕ ɨᵝː
さいなんじけん	s a̠ i n ã̠ ɲ̟ d͡ʑ i k ẽ̞ ɴ
さいにゅう	s a̠ i ɲ̟ ɯ̟ᵝː
さいぼう	s a̠ i b o̞ː
さいみん	s a̠ i mʲ ĩ ɴ
さいもく	s a̠ i m o̞ k ɯ̟ᵝ
さいゆうせん	s a̠ i j ɯ̟ᵝː s ẽ̞ ɴ
さいりょう	s a̠ i ɾʲ o̞ː
さえぎる	s a̠ e̞ ɡʲ i ɾ ɯ̟ᵝ
さえずる	s a̠ e̞ z ɨᵝ ɾ ɯ̟ᵝ
さえない	s a̠ e̞ n a̠ i
さえもん	s a̠ e̞ m õ̞ ɴ
さえん	s a̠ ẽ̞ ɴ
さかな	s a̠ k a̠ n a̠
さかむけ	s a̠ k a̠ m ɯ̟ᵝ k e̞
さがす	s a̠ ɡ a̠ s ɨᵝ
さき	s a̠ kʲ i
さきだつ	s a̠ kʲ i d a̠ t͡s ɨᵝ
さきん	s a̠ kʲ ĩ ɴ
さぎょうぎ	s a̠ ɡʲ o̞ː ɡʲ i
さく	s a̠ k ɯ̟ᵝ
さくさん	s a̠ k ɯ̟ᵝ s ã̠ ɴ
さくしゃ	s a̠ k ɯ̟̊ᵝ ɕ a̠
さくちょう	s a̠ k ɯ̟ᵝ t͡ɕ o̞ː
さくひん	s a̠ k ɯ̟̊ᵝ ç ĩ ɴ
さくふう	s a̠ k ɯ̟ᵝ ɸ ɯ̟ᵝː
さくらんぼう	s a̠ k ɯ̟ᵝ ɾ ã̠ m b o̞ː
さくりゃく	s a̠ k ɯ̟ᵝ ɾʲ a̠ k ɯ̟ᵝ
さぐりいれる	s a̠ ɡ ɯ̟ᵝ ɾʲ i i ɾ e̞ ɾ ɯ̟ᵝ
さけ	s a̠ k e̞
さけび	s a̠ k e̞ bʲ i
さけぶ	s a̠ k e̞ b ɯ̟ᵝ
さける	s a̠ k e̞ ɾ ɯ̟ᵝ
さこう	s a̠ k o̞ː
さごじょう	s a̠ ɡ o̞ ʑ o̞ː
ささえ	s a̠ s a̠ e̞
ささかまぼこ	s a̠ s a̠ k a̠ m a̠ b o̞ k o̞
ささくれ	s a̠ s a̠ k ɯ̟ᵝ ɾ e̞
ささげる	s a̠ s a̠ ɡ e̞ ɾ ɯ̟ᵝ
ささやく	s a̠ s a̠ j a̠ k ɯ̟ᵝ
さざえ	s a̠ z a̠ e̞
さざなみ	s a̠ z a̠ n a̠ mʲ i
さしつかえる	s a̠ ɕ i t͡s ɨᵝ k a̠ e̞ ɾ ɯ̟ᵝ
さしでがましい	s a̠ ɕ i d e̞ ɡ a̠ m a̠ ɕ iː
さしひかえる	s a̠ ɕ i ç i k a̠ e̞ ɾ ɯ̟ᵝ
さしみぼうちょう	s a̠ ɕ i mʲ i b o̞ː t͡ɕ o̞ː
さすが	s a̠ s ɨᵝ ɡ a̠
さずかりこん	s a̠ z ɨᵝ k a̠ ɾʲ i k õ̞ ɴ
さずける	s a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
さそう	s a̠ s o̞ ɯ̟ᵝ
さだいじん	s a̠ d a̠ i ʑ ĩ ɴ
さっか	s a̠ k k a̠
さっかく	s a̠ k̚ k a̠ k ɯ̟ᵝ
さっきん	s a̠ k̚ʲ kʲ ĩ ɴ
さっそざい	s a̠ sː o̞ z a̠ i
さっちゅうざい	s a̠ t̚ t͡ɕ ɨᵝː z a̠ i
さっぱり	s a̠ p̚ p a̠ ɾʲ i
さっぷうけい	s a̠ p̚ p ɯ̟ᵝː k e̞ː
さっぽろ	s a̠ p̚ p o̞ ɾ o̞
さつじん	s a̠ t͡s ɨᵝ ʑ ĩ ɴ
さつばつ	s a̠ t͡s ɨᵝ b a̠ t͡s ɨᵝ
さと	s a̠ t o̞
さとい	s a̠ t o̞ i
さなだひも	s a̠ n a̠ d a̠ ç i m o̞
さば	s a̠ b a̠
さばおち	s a̠ b a̠ o̞ t͡ɕ i
さばき	s a̠ b a̠ kʲ i
さびつく	s a̠ bʲ i t͡s ɨᵝ k ɯ̟ᵝ
さびる	s a̠ bʲ i ɾ ɯ̟ᵝ
さほひめ	s a̠ h o̞ ç i m e̞
さま	s a̠ m a̠
さます	s a̠ m a̠ s ɨᵝ
さみだれ	s a̠ mʲ i d a̠ ɾ e̞
さむい	s a̠ m ɯ̟ᵝ i
さゆ	s a̠ j ɯ̟ᵝ
さよ	s a̠ j o̞
さよく	s a̠ j o̞ k ɯ̟ᵝ
さよなら	s a̠ j o̞ n a̠ ɾ a̠
さらいしゅう	s a̠ ɾ a̠ i ɕ ɨᵝː
さらう	s a̠ ɾ a̠ ɯ̟ᵝ
さるがく	s a̠ ɾ ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
さわやか	s a̠ ɰᵝ a̠ j a̠ k a̠
さんか	s ã̠ ŋ k a̠
さんかん	s ã̠ ŋ k ã̠ ɴ
さんきゅう	s ã̠ ŋʲ kʲ ɨᵝː
さんきょくかん	s ã̠ ŋʲ kʲ o̞ k ɯ̟̊ᵝ k ã̠ ɴ
さんしょう	s ã̠ ɰ̃ ɕ o̞ː
さんしょううお	s ã̠ ɰ̃ ɕ o̞ː ɯ̟ᵝ o̞
さんじゅういち	s ã̠ ɲ̟ d͡ʑ ɨᵝː i t͡ɕ i
さんじゅうにち	s ã̠ ɲ̟ d͡ʑ ɨᵝː ɲ̟ i t͡ɕ i
さんじゅうはち	s ã̠ ɲ̟ d͡ʑ ɨᵝː h a̠ t͡ɕ i
さんじゅうろっけい	s ã̠ ɲ̟ d͡ʑ ɨᵝː ɾ o̞ k̚ k e̞ː
さんじょうき	s ã̠ ɲ̟ d͡ʑ o̞ː kʲ i
さんせい	s ã̠ ɰ̃ s e̞ː
さんそ	s ã̠ ɰ̃ s o̞
さんだんじゅう	s ã̠ n d ã̠ ɲ̟ d͡ʑ ɨᵝː
さんぶさく	s ã̠ m b ɯ̟ᵝ s a̠ k ɯ̟ᵝ
さんぷ	s ã̠ m p ɯ̟ᵝ
さんぼう	s ã̠ m b o̞ː
さんみゃく	s ã̠ mʲː a̠ k ɯ̟ᵝ
さんようき	s ã̠ ɰ̃ j o̞ː kʲ i
さんわ	s ã̠ ɰ̃ ɰᵝ a̠
ざいしょく	d͡z a̠ i ɕ o̞ k ɯ̟ᵝ
ざくろいし	d͡z a̠ k ɯ̟ᵝ ɾ o̞ i ɕ i
ざこね	d͡z a̠ k o̞ n e̞
ざしき	d͡z a̠ ɕ i kʲ i
ざぜん	d͡z a̠ z ẽ̞ ɴ
ざそう	d͡z a̠ s o̞ː
ざだんかい	d͡z a̠ d ã̠ ŋ k a̠ i
ざっこく	d͡z a̠ k̚ k o̞ k ɯ̟ᵝ
ざっし	d͡z a̠ ɕː i
ざっしょく	d͡z a̠ ɕː o̞ k ɯ̟ᵝ
ざった	d͡z a̠ t̚ t a̠
ざっと	d͡z a̠ t̚ t o̞
ざつだん	d͡z a̠ t͡s ɨᵝ d ã̠ ɴ
ざとう	d͡z a̠ t o̞ː
ざとうくじら	d͡z a̠ t o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
ざひょう	d͡z a̠ ç o̞ː
ざぶとん	d͡z a̠ b ɯ̟ᵝ t õ̞ ɴ
ざりがに	d͡z a̠ ɾʲ i ɡ a̠ ɲ̟ i
ざるそば	d͡z a̠ ɾ ɯ̟ᵝ s o̞ b a̠
ざんき	d͡z ã̠ ŋʲ kʲ i
ざんきょう	d͡z ã̠ ŋʲ kʲ o̞ː
ざんこく	d͡z ã̠ ŋ k o̞ k ɯ̟ᵝ
ざんにょうかん	d͡z ã̠ ɲ̟ ɲ̟ o̞ː k ã̠ ɴ
しいてき	ɕ i i t e̞ kʲ i
しいれる	ɕ iː ɾ e̞ ɾ ɯ̟ᵝ
しおきば	ɕ i o̞ kʲ i b a̠
しかい	ɕ i k a̠ i
しかいのしし	ɕ i k a̠ i n o̞ ɕ i ɕ i
しかくい	ɕ i k a̠ k ɯ̟ᵝ i
しかくけい	ɕ i̥ k a̠ k ɯ̟̊ᵝ k e̞ː
しかんしき	ɕ i k ã̠ ɰ̃ ɕ i kʲ i
しがいきょくばん	ɕ i ɡ a̠ i kʲ o̞ k ɯ̟ᵝ b ã̠ ɴ
しがく	ɕ i ɡ a̠ k ɯ̟ᵝ
しきがわら	ɕ i kʲ i ɡ a̠ ɰᵝ a̠ ɾ a̠
しきしゃ	ɕ i kʲ i̥ ɕ a̠
しきものるい	ɕ i kʲ i m o̞ n o̞ ɾ ɯ̟ᵝ i
しぎ	ɕ i ɡʲ i
しくら	ɕ i k ɯ̟ᵝ ɾ a̠
しけん	ɕ i k ẽ̞ ɴ
しげき	ɕ i ɡ e̞ kʲ i
しげゆき	ɕ i ɡ e̞ j ɯ̟ᵝ kʲ i
しこうてい	ɕ i̥ k o̞ː t e̞ː
しご	ɕ i ɡ o̞
しごとりつ	ɕ i ɡ o̞ t o̞ ɾʲ i t͡s ɨᵝ
しざい	ɕ i z a̠ i
ししざ	ɕ i̥ ɕ i z a̠
ししまい	ɕ i ɕ i m a̠ i
ししゅ	ɕ i ɕ ɨᵝ
ししゅんき	ɕ i̥ ɕ ɨ̃ᵝ ŋʲ kʲ i
ししょばこ	ɕ i̥ ɕ o̞ b a̠ k o̞
しじゅうから	ɕ i ʑ ɨᵝː k a̠ ɾ a̠
しじゅうからがん	ɕ i ʑ ɨᵝː k a̠ ɾ a̠ ɡ ã̠ ɴ
しずおかけん	ɕ i z ɨᵝ o̞ k a̠ k ẽ̞ ɴ
しずむ	ɕ i z ɨᵝ m ɯ̟ᵝ
しせいかつ	ɕ i s e̞ː k a̠ t͡s ɨᵝ
しぜん	ɕ i z ẽ̞ ɴ
しぜんてき	ɕ i z ẽ̞ n t e̞ kʲ i
しそつ	ɕ i s o̞ t͡s ɨᵝ
したがう	ɕ i t a̠ ɡ a̠ ɯ̟ᵝ
したごしらえ	ɕ i t a̠ ɡ o̞ ɕ i ɾ a̠ e̞
したしむ	ɕ i t a̠ ɕ i m ɯ̟ᵝ
したじき	ɕ i t a̠ ʑ i kʲ i
したて	ɕ i t a̠ t e̞
しちじゅう	ɕ i t͡ɕ i ʑ ɨᵝː
しちせい	ɕ i t͡ɕ i s e̞ː
しっかく	ɕ i k̚ k a̠ k ɯ̟ᵝ
しっかん	ɕ i k̚ k ã̠ ɴ
しっこう	ɕ i k̚ k o̞ː
しっしょう	ɕ i ɕː o̞ː
しっそう	ɕ i s s o̞ː
しっちょう	ɕ i t̚ t͡ɕ o̞ː
しっぽうやき	ɕ i p̚ p o̞ː j a̠ kʲ i
しつぎおとう	ɕ i t͡s ɨᵝ ɡʲ i o̞ t o̞ː
しつりょう	ɕ i̥ t͡s ɨᵝ ɾʲ o̞ː
してんのう	ɕ i t ẽ̞ nː o̞ː
しとう	ɕ i t o̞ː
しとやか	ɕ i t o̞ j a̠ k a̠
しな	ɕ i n a̠
しながどり	ɕ i n a̠ ɡ a̠ d o̞ ɾʲ i
しなす	ɕ i n a̠ s ɨᵝ
しなやか	ɕ i n a̠ j a̠ k a̠
しにかける	ɕ i ɲ̟ i k a̠ k e̞ ɾ ɯ̟ᵝ
しのびがたな	ɕ i n o̞ bʲ i ɡ a̠ t a̠ n a̠
しのびこむ	ɕ i n o̞ bʲ i k o̞ m ɯ̟ᵝ
しのぶ	ɕ i n o̞ b ɯ̟ᵝ
しはい	ɕ i h a̠ i
しはらい	ɕ i h a̠ ɾ a̠ i
しはらう	ɕ i h a̠ ɾ a̠ ɯ̟ᵝ
しばいごや	ɕ i b a̠ i ɡ o̞ j a̠
しばしば	ɕ i b a̠ ɕ i b a̠
しばん	ɕ i b ã̠ ɴ
しひとめ	ɕ ɨᵝː t o̞ m e̞
しぶん	ɕ i b ɯ̟̃ᵝ ɴ
しへい	ɕ i h e̞ː
しま	ɕ i m a̠
しまぐに	ɕ i m a̠ ɡ ɯ̟ᵝ ɲ̟ i
しまつ	ɕ i m a̠ t͡s ɨᵝ
しめす	ɕ i m e̞ s ɨᵝ
しもつき	ɕ i m o̞ t͡s ɨ̥ᵝ kʲ i
しゃ	ɕ a̠
しゃい	ɕ a̠ i
しゃいん	ɕ a̠ ĩ ɴ
しゃく	ɕ a̠ k ɯ̟ᵝ
しゃくいち	ɕ a̠ k ɯ̟ᵝ i t͡ɕ i
しゃくやく	ɕ a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
しゃこ	ɕ a̠ k o̞
しゃしゅつ	ɕ a̠ ɕ ɨᵝ t͡s ɨᵝ
しゃしんか	ɕ a̠ ɕ ĩ ŋ k a̠
しゃしんき	ɕ a̠ ɕ ĩ ŋʲ kʲ i
しゃせい	ɕ a̠ s e̞ː
しゃちょう	ɕ a̠ t͡ɕ o̞ː
しゃっくり	ɕ a̠ k̚ k ɯ̟ᵝ ɾʲ i
しゃぶ	ɕ a̠ b ɯ̟ᵝ
しゃみ	ɕ a̠ mʲ i
しゃみせん	ɕ a̠ mʲ i s ẽ̞ ɴ
しゃもじ	ɕ a̠ m o̞ ʑ i
